t_sim_s,x_m,y_m,z_m
5.8030,20.9293,0.6540,0.5832
5.8150,21.0611,0.6308,0.6537
5.8270,21.2216,0.6099,0.7141
5.8380,21.3749,0.6019,0.7876
5.8490,21.5358,0.6005,0.8587
5.8600,21.7063,0.6032,0.9127
5.8720,21.8984,0.6112,0.9499
5.8840,22.0914,0.6245,0.9637
5.8950,22.2650,0.6408,0.9559
5.9060,22.4316,0.6604,0.9294
5.9180,22.6009,0.6851,0.8814
5.9300,22.7531,0.7120,0.8168
5.9420,22.8848,0.7403,0.7401
5.9540,22.9939,0.7687,0.6562
5.9650,23.0735,0.7938,0.5777
5.9760,23.1339,0.8172,0.5021
5.9880,23.1795,0.8399,0.4277
5.9990,23.2053,0.8574,0.3710
6.0110,23.2198,0.8724,0.3252
6.0230,23.2248,0.8828,0.2992
6.0350,23.2257,0.8886,0.2946
6.0460,23.2279,0.8902,0.3096
6.0570,23.2358,0.8885,0.3421
6.0680,23.2536,0.8841,0.3904
6.0790,23.2848,0.8778,0.4521
6.0900,23.3324,0.8704,0.5239
6.1010,23.3983,0.8628,0.6019
6.1120,23.4836,0.8559,0.6820
6.1240,23.5990,0.8502,0.7665
6.1350,23.7241,0.8474,0.8368
6.1470,23.8792,0.8478,0.9010
6.1590,24.0501,0.8524,0.9480
6.1710,24.2322,0.8614,0.9749
6.1820,24.4048,0.8735,0.9802
6.1940,24.5945,0.8908,0.9642
6.2050,24.7655,0.9100,0.9301
6.2160,24.9302,0.9322,0.8784
6.2270,25.0856,0.9569,0.8108
6.2380,25.2289,0.9837,0.7297
6.2490,25.3580,1.0118,0.6377
6.2610,25.4807,1.0431,0.5287
6.2720,25.5757,1.0715,0.4245
6.2830,25.6539,1.0988,0.3196
6.2940,25.7090,1.1092,0.2586
6.3050,25.7495,1.1142,0.2063
6.3170,25.7796,1.1149,0.1574
6.3280,25.7963,1.1113,0.1224
6.3390,25.8051,1.1036,0.0989
6.3500,25.8086,1.0922,0.0881
6.3610,25.8097,1.0774,0.0909
6.3720,25.8111,1.0598,0.1076
6.3830,25.8159,1.0400,0.1379
6.3940,25.8267,1.0187,0.1810
6.4050,25.8461,0.9966,0.2356
6.4160,25.8763,0.9745,0.2999
6.4280,25.9238,0.9513,0.3784
6.4390,25.9820,0.9315,0.4554
6.4500,26.0552,0.9140,0.5343
6.4620,26.1524,0.8981,0.6190
6.4730,26.2570,0.8870,0.6923
6.4840,26.3755,0.8795,0.7585
6.4950,26.5064,0.8760,0.8149
6.5060,26.6477,0.8763,0.8591
6.5180,26.8111,0.8811,0.8912
6.5290,26.9661,0.8891,0.9042
6.5410,27.1376,0.9014,0.8995
6.5530,27.3077,0.9166,0.8748
6.5640,27.4551,0.9296,0.8438
6.5750,27.5867,0.9366,0.8242
6.5860,27.7125,0.9445,0.7953
6.5970,27.8313,0.9529,0.7582
6.6090,27.9516,0.9622,0.7096
6.6210,28.0612,0.9712,0.6542
6.6320,28.1516,0.9789,0.5990
6.6430,28.2320,0.9856,0.5413
6.6540,28.3023,0.9911,0.4825
6.6650,28.3627,0.9950,0.4242
6.6770,28.4177,0.9972,0.3631
6.6880,28.4590,0.9972,0.3110
6.6990,28.4925,0.9950,0.2638
6.7100,28.5192,0.9905,0.2229
6.7220,28.5422,0.9830,0.1866
6.7340,28.5607,0.9727,0.1599
6.7450,28.5753,0.9611,0.1444
6.7560,28.5894,0.9474,0.1378
6.7670,28.6046,0.9318,0.1402
6.7780,28.6225,0.9147,0.1511
6.7900,28.6470,0.8945,0.1723
6.8010,28.6754,0.8750,0.1993
6.8120,28.7109,0.8549,0.2326
6.8230,28.7546,0.8345,0.2709
6.8340,28.8072,0.8143,0.3130
6.8450,28.8695,0.7945,0.3574
6.8570,28.9489,0.7739,0.4064
6.8680,29.0322,0.7562,0.4503
6.8800,29.1181,0.7332,0.5161
6.8910,29.1931,0.7097,0.5866
6.9020,29.2735,0.6872,0.6531
6.9130,29.3587,0.6661,0.7149
6.9250,29.4567,0.6446,0.7765
6.9360,29.5504,0.6263,0.8271
6.9480,29.6564,0.6079,0.8755
6.9590,29.7563,0.5924,0.9133
6.9700,29.8582,0.5784,0.9445
6.9810,29.9614,0.5657,0.9690
6.9930,30.0745,0.5534,0.9879
7.0040,30.1780,0.5435,0.9981
7.0150,30.2806,0.5350,1.0016
7.0250,30.3725,0.5283,0.9991
7.0360,30.4714,0.5219,0.9903
7.0470,30.5677,0.5167,0.9755
7.0590,30.6688,0.5120,0.9530
7.0700,30.7576,0.5085,0.9269
7.0810,30.8421,0.5057,0.8962
7.0920,30.9220,0.5034,0.8614
7.1030,30.9970,0.5015,0.8231
7.1140,31.0669,0.4999,0.7817
7.1260,31.1372,0.4982,0.7340
7.1380,31.2011,0.4965,0.6841
7.1490,31.2543,0.4947,0.6373
7.1600,31.3022,0.4926,0.5900
7.1710,31.3451,0.4901,0.5427
7.1820,31.3831,0.4870,0.4961
7.1940,31.4194,0.4829,0.4465
7.2050,31.4482,0.4784,0.4028
7.2160,31.4732,0.4731,0.3611
7.2270,31.4947,0.4669,0.3218
7.2390,31.5147,0.4590,0.2822
7.2510,31.5318,0.4500,0.2463
7.2620,31.5453,0.4407,0.2170
7.2740,31.5585,0.4293,0.1890
7.2840,31.5687,0.4189,0.1691
7.2950,31.5795,0.4064,0.1507
7.3060,31.5906,0.3930,0.1362
7.3170,31.6025,0.3785,0.1255
7.3290,31.6171,0.3617,0.1179
7.3400,31.6324,0.3454,0.1147
7.3510,31.6502,0.3283,0.1148
7.3630,31.6730,0.3089,0.1184
7.3740,31.6975,0.2905,0.1244
7.3850,31.7259,0.2717,0.1328
7.3960,31.7541,0.2544,0.1555
7.4070,31.7752,0.2420,0.2131
7.4180,31.8016,0.2301,0.2716
7.4300,31.8370,0.2177,0.3358
7.4410,31.8756,0.2071,0.3942
7.4530,31.9244,0.1965,0.4566
7.4650,31.9801,0.1872,0.5166
7.4760,32.0372,0.1798,0.5688
7.4870,32.0970,0.1724,0.6167
7.4980,32.1553,0.1637,0.6602
7.5090,32.2161,0.1553,0.7008
7.5210,32.2849,0.1468,0.7416
7.5320,32.3503,0.1394,0.7757
7.5440,32.4238,0.1320,0.8090
7.5550,32.4929,0.1257,0.8357
7.5670,32.5701,0.1195,0.8606
7.5780,32.6421,0.1144,0.8794
7.5900,32.7218,0.1095,0.8953
7.6020,32.8023,0.1052,0.9063
7.6140,32.8834,0.1017,0.9124
7.6250,32.9578,0.0990,0.9136
7.6370,33.0389,0.0967,0.9101
7.6480,33.1127,0.0952,0.9025
7.6600,33.1925,0.0942,0.8894
7.6710,33.2647,0.0938,0.8732
7.6820,33.3356,0.0939,0.8529
7.6930,33.4050,0.0945,0.8288
7.7040,33.4726,0.0955,0.8009
7.7150,33.5383,0.0969,0.7694
7.7270,33.6075,0.0988,0.7311
7.7380,33.6684,0.1009,0.6926
7.7490,33.7268,0.1032,0.6511
7.7610,33.7873,0.1061,0.6026
7.7730,33.8443,0.1090,0.5512
7.7840,33.8935,0.1119,0.5017
7.7960,33.9436,0.1150,0.4455
7.8080,33.9899,0.1182,0.3872
7.8190,34.0185,0.1177,0.3623
7.8290,34.0392,0.1163,0.3489
7.8390,34.0585,0.1149,0.3347
7.8500,34.0779,0.1136,0.3182
7.8620,34.0972,0.1122,0.2994
7.8730,34.1131,0.1110,0.2815
7.8840,34.1273,0.1099,0.2631
7.8950,34.1399,0.1088,0.2443
7.9060,34.1510,0.1077,0.2252
7.9170,34.1605,0.1066,0.2059
7.9290,34.1693,0.1053,0.1847
7.9400,34.1760,0.1041,0.1653
7.9520,34.1818,0.1027,0.1442
7.9640,34.1862,0.1011,0.1232
7.9760,34.1894,0.0994,0.1026
7.9880,34.1915,0.0975,0.0823
8.0000,34.1925,0.0954,0.0625
8.0100,34.1927,0.0935,0.0464
8.0220,34.1923,0.0910,0.0275
8.0330,34.1913,0.0884,0.0107
8.0440,34.1904,0.0864,-0.0012
8.0540,34.1902,0.0863,-0.0009
8.0640,34.1899,0.0860,-0.0005
8.0740,34.1895,0.0855,0.0002
8.0860,34.1891,0.0846,0.0014
8.0980,34.1888,0.0833,0.0028
8.1090,34.1888,0.0817,0.0044
8.1210,34.1891,0.0796,0.0064
8.1330,34.1899,0.0771,0.0086
8.1450,34.1912,0.0741,0.0110
8.1570,34.1932,0.0706,0.0136
8.1690,34.1960,0.0665,0.0162
8.1800,34.1992,0.0623,0.0186
8.1920,34.2037,0.0572,0.0212
8.2040,34.2065,0.0521,0.0316
8.2150,34.2062,0.0475,0.0509
8.2260,34.2066,0.0426,0.0695
8.2370,34.2075,0.0373,0.0875
8.2480,34.2090,0.0317,0.1049
8.2590,34.2110,0.0257,0.1218
8.2700,34.2134,0.0195,0.1381
8.2810,34.2162,0.0130,0.1539
8.2930,34.2197,0.0056,0.1705
8.3040,34.2234,-0.0015,0.1853
8.3150,34.2274,-0.0089,0.1996
8.3260,34.2317,-0.0165,0.2134
8.3370,34.2364,-0.0245,0.2268
8.3480,34.2414,-0.0327,0.2398
8.3590,34.2467,-0.0412,0.2524
8.3700,34.2524,-0.0500,0.2647
8.3810,34.2583,-0.0591,0.2765
